sfinților|apostoli|tocmite|de|7 sfințilorapostolitocmitede7 immmmmmmsimmmmmmsimmmmmsisc
săboară|cătră|aceasta|și|a|preacuvioșilor săboarăcătrăaceastașiapreacuvioșilor immmmmsimmmsimmmmmsiscimmmmmmmmmmmms
părinți|învățătorilor|lumiei|tipăritu-se-au|în|tiparnița|prealuminatului părințiînvățătorilorlumieitipăritu-se-auîntiparnițaprealuminatului immmmmsimmmmmmmmmmmsimmmmsimmmmmmmmmmmmsisimmmmmmmsimmmmmmmmmmmmms
domn|io|matthei domniomatthei immsisimmmmms
basarabă|voevodă|a|toată basarabăvoevodăatoată immmmmmsimmmmmscimmms
țara|ungro-vlahiei|în|mănăstirea|govora țaraungro-vlahieiînmănăstireagovora immsimmmmmmmmmmmsisimmmmmmmmsimmmms
vă|leato|7149|iară|de|la văleato7149iarădela isimmmsimmsimmsisis
nașterea|lui|hristos|1640|predoslovie|cătră|toți nașterealuihristos1640predosloviecătrătoți immmmmmsimsimmmmmsimmsimmmmmmmmmsimmmsimms
nastavnicii|sfintei|bisearici nastavniciisfinteibisearici immmmmmmmmsimmmmmsimmmmmmms
prealuminaților|arhiepiscopi|mitropoliților|și prealuminațilorarhiepiscopimitropolițilorși immmmmmmmmmmmmsimmmmmmmmmmsimmmmmmmmmmmmsis
preoților|și|tuturor|duhovnicilor|carii|cu preoțilorșituturorduhovnicilorcariicu immmmmmmsisimmmmmsimmmmmmmmmmsimmmsis
theofil|cu|mila theofilcumila immmmmsisimms
lui|dumnezeu|arhiepiscop|și luidumnezeuarhiepiscopși imsimmmmmmsimmmmmmmmmsis
mitropolit|a|toată|țara|rumânească mitropolitatoatățararumânească immmmmmmmscimmmsimmsimmmmmmmms
pace|și|spăsenie|priimiți|duh|sfînt paceșispăseniepriimițiduhsfînt immsisimmmmmmsimmmmmmsimsimmms
cărora|veți|lăsa|păcatele|lăsa-se-vor|lor|și căroravețilăsapăcatelelăsa-se-vorlorși immmmsimmsimmsimmmmmmsimmmmmmmmmsimsis
cui|le|veț cuileveț imsisims
carte|pre|limba|lor|cu|aceaia carteprelimbalorcuaceaia immmsimsimmmsimsisimmmms
cugetaiu|şi|eu|robul|domnului|mieu|lui cugetaiuşieurobuldomnuluimieului immmmmmsisisimmmsimmmmmmsimmsims
isus|hristos|să isushristossă immsimmmmmsis
pravilă|pre|limba|rumânească|sfinţiilor pravilăprelimbarumâneascăsfinţiilor immmmmsimsimmmsimmmmmmmmsimmmmmmmms
voastre|fraţi|duhovnici|rumânești|carii|sînteţi voastrefraţiduhovnicirumâneșticariisînteţi immmmmsimmmsimmmmmmmsimmmmmmmsimmmsimmmmms
păstori|oilor|celor|cuvîntătoare|a|turmei|lui păstorioilorcelorcuvîntătoareaturmeilui immmmmsimmmsimmmsimmmmmmmmmmscimmmmsims
hristos|carea|are hristoscareaare immmmmsimmmsims
de|vindecări|sufletelor|creştinești|celor devindecărisufletelorcreştineșticelor isimmmmmmmsimmmmmmmmsimmmmmmmmmsimmms
ce|sînt|rănite|cu|păcate|însă cesîntrănitecupăcateînsă isimmsimmmmsisimmmmsimms
mai|vîrtos|şi|cale|la|împărăţiia|ceriului maivîrtosşicalelaîmpărăţiiaceriului imsimmmmsisimmsisimmmmmmmmsimmmmmms
însă|mă|rog însămărog immsisims
sfinţiilor|voastre|cu|mare sfinţiilorvoastrecumare immmmmmmmsimmmmmsisimms
cădea|această|sfîntă|carte|acela|să cădeaaceastăsfîntăcarteacelasă immmsimmmmmsimmmmsimmmsimmmsis
aibă|a|o|ţinea|în|mare|cinste aibăaoţineaînmarecinste immsccimmmsisimmsimmmms
şi|să|se şisăse isisis
înveţe|dentru|ia|în înveţedentruiaîn immmmsimmmmsisis
taină|cum|va|vindeca|sufletele tainăcumvavindecasufletele immmsimsisimmmmmsimmmmmmms
de|mirean|să|nu|se|dea|nice demireansănusedeanice isimmmmsisisisimsimms
la|măscărici|să lamăscăricisă isimmmmmmmsis
batjocurite|că|apoi|milostivia|ta|veri batjocuritecăapoimilostiviataveri immmmmmmmmsisimmsimmmmmmmmsisimms
da|samă|frate|duhovnice|eu|nu|voiu dasamăfrateduhovniceeunuvoiu isimmsimmmsimmmmmmmsisisimms
avea|treabă|cela aveatreabăcela immsimmmmsimms
ce|priimeaște|gîndurile|omenești cepriimeaștegîndurileomenești isimmmmmmmmsimmmmmmmsimmmmmms
învăţat|a|fi|să|se|oprească învăţatafisăseoprească immmmmscisisisimmmmmms
de|pohte|smerit|și|cu|lucrure|bune depohtesmeritșiculucrurebune isimmmsimmmmsisisimmmmmsimms
pre|tot|ceasul pretotceasul imsimsimmmms
să|se|roage|lui săseroagelui isisimmmsims
dumnezeu|ca|să-i|dea|cuvînt dumnezeucasă-ideacuvînt immmmmmsisimmsimsimmmms
ceia|ce|scapă|către|dinsul|iară|într-alt ceiacescapăcătredinsuliarăîntr-alt immsisimmmsimmmsimmmmsimmsimmmmmms
chip|însuș|datoriu chipînsușdatoriu immsimmmsimmmmms
și|vinerea|prespre|tot|anul șivinereaprespretotanul isimmmmmsimmmmmsimsimms
cum|porîncesc|sfintele|şi|dumnezeeștile|pravile cumporîncescsfinteleşidumnezeeștilepravile imsimmmmmmmsimmmmmmsisimmmmmmmmmmmsimmmmms
o|dea|și odeași cimsis
altora|a|face|iară altoraafaceiară immmmscimmsimms
și|nepustnic|cum|va|învăţa|pre șinepustniccumvaînvăţapre isimmmmmmmsimsisimmmmsims
alţii|a|face|lucrure|bune|şi|cine alţiiafacelucrurebuneşicine immmscimmsimmmmmsimmsisimms
